,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
1275,1275,001843,九泰日添金货币B,货币型,2021-09-22,0.0,0.16,0.48,0.96,1.41
1293,1293,001870,前海开源货币A,货币型,2021-09-22,0.0,0.15,0.47,0.96,1.44
1294,1294,001871,前海开源货币B,货币型,2021-09-22,0.0,0.18,0.53,1.08,1.62
1314,1314,001893,华宝现金添益B,货币型,2021-09-22,0.0,0.19,0.56,1.12,1.68
1315,1315,001894,泰达宏利活期友货币A,货币型,2021-09-22,0.0,0.18,0.54,1.11,1.67
1316,1316,001895,泰达宏利活期友货币B,货币型,2021-09-22,0.0,0.18,0.54,1.11,1.67
1329,1329,001909,创金合信货币A,货币型,2021-09-22,0.0,0.21,0.6,1.23,1.87
1339,1339,001925,兴业鑫天盈货币A,货币型,2021-09-22,0.0,0.19,0.55,1.13,1.68
1340,1340,001926,兴业鑫天盈货币B,货币型,2021-09-22,0.0,0.21,0.61,1.25,1.86
1343,1343,001931,国寿安保鑫钱包货币A,货币型,2021-09-22,0.0,0.19,0.58,1.18,1.75
1346,1346,001937,兴银现金增利货币,货币型,2021-09-22,0.0,0.21,0.62,1.26,1.86
1376,1376,001973,光大耀钱包货币A,货币型,2021-09-22,0.0,0.17,0.53,1.07,1.6
1382,1382,001981,富国收益宝交易型货币A,货币型,2021-09-22,0.0,0.18,0.51,1.04,1.54
1383,1383,001982,富国收益宝交易型货币B,货币型,2021-09-22,0.0,0.2,0.57,1.17,1.72
1388,1388,001987,东方金元宝货币,货币型,2021-09-22,0.0,0.17,0.52,1.05,1.6
1451,1451,002077,浙商日添利A,货币型,2021-09-22,0.0,0.15,0.51,1.06,1.6
1452,1452,002078,浙商日添利B,货币型,2021-09-22,0.0,0.17,0.57,1.18,1.77
1523,1523,002183,广发天天红货币B,货币型,2021-09-22,0.0,0.2,0.62,1.26,1.88
1524,1524,002184,泓德泓利货币A,货币型,2021-09-22,0.0,0.15,0.44,0.88,1.31
