,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
6592,6592,010644,富国全球健康生活主题混合(QDII)人民币,QDII,2021-09-22,0.9953,6.43,-14.73,-4.69,-0.88
6680,6680,010789,汇添富恒生指数C,QDII,2021-09-22,0.9694,-2.39,-12.8,-14.97,-10.71
7107,7107,011420,广发全球科技三个月定开混合(QDII)人民币A,QDII,2021-09-17,0.9956,-0.86,0.44,0.13,-0.44
7108,7108,011422,广发全球科技三个月定开混合(QDII)人民币C,QDII,2021-09-17,0.9934,-0.9,0.33,-0.08,-0.66
8071,8071,040018,华安香港精选股票(QDII),QDII,2021-09-17,2.431,4.47,5.01,4.87,9.01
8074,8074,040021,华安大中华升级股票,QDII,2021-09-17,1.899,5.09,5.79,5.56,9.45
8087,8087,040046,华安纳斯达克100指数,QDII,2021-09-17,4.446,1.79,8.52,15.18,17.37
8088,8088,040047,华安纳斯达克100指数现钞,QDII,2021-09-17,0.689,2.16,8.13,15.99,18.69
8089,8089,040048,华安纳斯达克100指数现汇,QDII,2021-09-17,0.689,2.16,8.13,15.99,18.69
8106,8106,050015,博时大中华亚太精选,QDII,2021-09-17,1.401,2.41,-5.85,-8.73,-8.61
8110,8110,050020,博时抗通胀增强回报,QDII,2021-09-22,0.379,1.88,-4.05,0.0,3.27
8115,8115,050025,博时标普500ETF联接A,QDII,2021-09-17,3.2146,-0.66,5.09,10.13,15.87
8118,8118,050030,博时亚洲票息收益债券,QDII,2021-09-17,1.4602,-0.04,-0.31,-1.64,-2.16
8125,8125,050202,博时亚洲票息收益债券现汇,QDII,2021-09-17,0.2263,0.31,-0.66,-0.96,-1.05
8126,8126,050203,博时亚洲票息收益债券现钞,QDII,2021-09-17,0.2263,0.31,-0.66,-0.96,-1.05
8136,8136,070012,嘉实海外中国股票混合,QDII,2021-09-17,0.949,0.42,-11.31,-19.23,-18.27
8153,8153,070031,嘉实全球房地产(QDII),QDII,2021-09-17,1.285,-0.62,3.05,11.06,19.49
8164,8164,080006,长盛环球行业混合(QDII),QDII,2021-09-17,1.609,0.0,-9.61,-5.63,-5.35
8196,8196,096001,大成标普500等权重指数,QDII,2021-09-17,2.224,-1.11,2.77,6.51,16.92
8210,8210,100050,富国全球债券(QDII),QDII,2021-09-22,1.2005,-1.03,-1.28,-1.53,-1.38
